affected_cells,denominator,denominator_metric,event_count,layer,metric,missing_candidate_slots,phase,rate,selected,source_sha256,subgroup,unit,value,value_kind
,,,,derived_funnel,expected_candidate_slots,,6,,,,family_holdout/official_continued_full,,8880,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,family_holdout/official_continued_full,,47,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,family_holdout/official_continued_full,,8833,count
,,,,derived_funnel,component_slots,,6,,,,family_holdout/official_continued_full,,26516,count
,,,,derived_funnel,trajectory_slots,,6,,,,family_holdout/official_continued_full,,26499,count
,,,,derived_funnel,selected_cells,,6,,,,family_holdout/official_continued_full,,480,count
,,,,derived_funnel,selected_valid_cells,,6,,,,family_holdout/official_continued_full,,480,count
,,,,derived_funnel,cells,,6,,,,main/frozen,,960,count
,,,,derived_funnel,cells_with_candidates,,6,,,,main/frozen,,960,count
,,,,derived_funnel,candidates_saved,,6,,,,main/frozen,,47987,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,main/frozen,,48000,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,main/frozen,,13,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,main/frozen,,47987,count
,,,,derived_funnel,component_slots,,6,,,,main/frozen,,101963,count
,,,,derived_funnel,trajectory_slots,,6,,,,main/frozen,,143961,count
,,,,derived_funnel,selected_cells,,6,,,,main/frozen,,960,count
,,,,derived_funnel,selected_valid_cells,,6,,,,main/frozen,,960,count
,,,,derived_funnel,cells,,6,,,,main/grn_decoder_all,,1824,count
,,,,derived_funnel,cells_with_candidates,,6,,,,main/grn_decoder_all,,1824,count
,,,,derived_funnel,candidates_saved,,6,,,,main/grn_decoder_all,,50906,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,main/grn_decoder_all,,54912,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,main/grn_decoder_all,,4006,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,main/grn_decoder_all,,50906,count
,,,,derived_funnel,component_slots,,6,,,,main/grn_decoder_all,,105464,count
,,,,derived_funnel,trajectory_slots,,6,,,,main/grn_decoder_all,,152718,count
,,,,derived_funnel,selected_cells,,6,,,,main/grn_decoder_all,,1824,count
,,,,derived_funnel,selected_valid_cells,,6,,,,main/grn_decoder_all,,1804,count
,,,,derived_funnel,cells,,6,,,,main/grn_full,,1824,count
,,,,derived_funnel,cells_with_candidates,,6,,,,main/grn_full,,1824,count
,,,,derived_funnel,candidates_saved,,6,,,,main/grn_full,,51149,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,main/grn_full,,54912,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,main/grn_full,,3763,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,main/grn_full,,51121,count
,,,,derived_funnel,component_slots,,6,,,,main/grn_full,,107637,count
,,,,derived_funnel,trajectory_slots,,6,,,,main/grn_full,,153447,count
,,,,derived_funnel,selected_cells,,6,,,,main/grn_full,,1824,count
,,,,derived_funnel,selected_valid_cells,,6,,,,main/grn_full,,1787,count
,,,,derived_funnel,cells,,6,,,,main/official_continued_full,,1824,count
,,,,derived_funnel,cells_with_candidates,,6,,,,main/official_continued_full,,1824,count
,,,,derived_funnel,candidates_saved,,6,,,,main/official_continued_full,,54725,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,main/official_continued_full,,54912,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,main/official_continued_full,,187,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,main/official_continued_full,,54725,count
,,,,derived_funnel,component_slots,,6,,,,main/official_continued_full,,115400,count
,,,,derived_funnel,trajectory_slots,,6,,,,main/official_continued_full,,164175,count
,,,,derived_funnel,selected_cells,,6,,,,main/official_continued_full,,1824,count
,,,,derived_funnel,selected_valid_cells,,6,,,,main/official_continued_full,,1817,count
,,,,derived_funnel,cells,,7,,,,family_holdout/grn_single_block,,7680,count
,,,,derived_funnel,cells_with_candidates,,7,,,,family_holdout/grn_single_block,,7680,count
,,,,derived_funnel,candidates_saved,,7,,,,family_holdout/grn_single_block,,137985,count
,,,,derived_funnel,expected_candidate_slots,,7,,,,family_holdout/grn_single_block,,142080,count
,,,,derived_funnel,missing_candidate_slots,,7,,,,family_holdout/grn_single_block,,4095,count
,,,,derived_funnel,candidates_formula_evaluated,,7,,,,family_holdout/grn_single_block,,137985,count
,,,,derived_funnel,component_slots,,7,,,,family_holdout/grn_single_block,,414432,count
,,,,derived_funnel,trajectory_slots,,7,,,,family_holdout/grn_single_block,,413955,count
,,,,derived_funnel,selected_cells,,7,,,,family_holdout/grn_single_block,,7680,count
,,,,derived_funnel,selected_valid_cells,,7,,,,family_holdout/grn_single_block,,7285,count
,,,,derived_funnel,cells,,7,,,,main/grn_single_block,,18432,count
,,,,derived_funnel,cells_with_candidates,,7,,,,main/grn_single_block,,18432,count
,,,,derived_funnel,candidates_saved,,7,,,,main/grn_single_block,,327312,count
,,,,derived_funnel,expected_candidate_slots,,7,,,,main/grn_single_block,,340992,count
,,,,derived_funnel,missing_candidate_slots,,7,,,,main/grn_single_block,,13680,count
,,,,derived_funnel,candidates_formula_evaluated,,7,,,,main/grn_single_block,,327312,count
,,,,derived_funnel,component_slots,,7,,,,main/grn_single_block,,648814,count
,,,,derived_funnel,trajectory_slots,,7,,,,main/grn_single_block,,981936,count
,,,,derived_funnel,selected_cells,,7,,,,main/grn_single_block,,18432,count
,,,,derived_funnel,selected_valid_cells,,7,,,,main/grn_single_block,,17894,count
,,,,derived_funnel,cells,,8,,,,family_holdout/frozen,,240,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/frozen,,240,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/frozen,,12000,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/frozen,,12000,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/frozen,,0,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/frozen,,12000,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/frozen,,36000,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/frozen,,37200,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/frozen,,240,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/frozen,,240,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_bottom3,,480,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_bottom3,,480,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_bottom3,,8865,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_bottom3,,8880,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_bottom3,,15,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_bottom3,,8865,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_bottom3,,26595,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_bottom3,,26595,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_bottom3,,480,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_bottom3,,425,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_causal_top3,,480,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_causal_top3,,480,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_causal_top3,,8843,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_causal_top3,,8880,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_causal_top3,,37,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_causal_top3,,8843,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_causal_top3,,26530,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_causal_top3,,26529,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_causal_top3,,480,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_causal_top3,,466,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_full,,240,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_full,,240,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_full,,11961,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_full,,12000,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_full,,39,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_full,,11961,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_full,,35883,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_full,,37083,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_full,,240,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_full,,240,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_random3_0,,720,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_random3_0,,720,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_random3_0,,20869,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_random3_0,,20880,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_random3_0,,11,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_random3_0,,20869,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_random3_0,,62607,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_random3_0,,63807,count
